Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
1,Mariage,1,3672,162,1876-11-14,48/210
2,Mariage,1,6905,162,1857-06-15,287/447
3,Mariage,2,5873,238,1891-11-10,33/179
4,Mariage,3,7323,139,1844-09-11,329/455
5,Mariage,4,6286,363,1859-10-17,202/228
6,Mariage,5,6706,162,1818-04-07,323/393
7,Mariage,6,7475,42,1743-02-12,96/209
8,Mariage,7,7098,121,1835-11-11,420/492
9,Mariage,8,5372,42,1815-05-29,269/343
10,Publication de mariage,15,4030,144,1871-09-03,7/093
11,Mariage,16,5034,200,1672-08-01,114/138
12,Mariage,9,4025,293,1839-04-29,17/244
13,Mariage,10,4289,235,1897-06-15,4/043
14,Mariage,12,7623,362,1795-02-10,n/a
15,Mariage,11,7624,171,1817-11-12,91/226
16,Mariage,13,6846,245,1695-02-10,n/a
17,Mariage,14,7240,245,1789-11-17,n/a
18,Mariage,17,6186,325,1895-01-08,123/146
19,Mariage,18,8298,5,1903-04-25,5/059
20,Mariage,19,5228,167,1694-09-16,8/010
21,Mariage,20,5554,167,1732-02-12,91/110
22,Mariage,21,7347,147,1830-11-23,174/179
23,Mariage,22,7897,238,1667-05-02,123/166
24,Mariage,23,7860,25,1732-06-20,41/057
25,Mariage,24,7688,146,1733-07-07,102/118
26,Mariage,25,5808,64,1807-01-21,n/a
27,Mariage,26,7197,347,1782-01-23,n/a
28,Mariage,27,4249,64,1858-07-26,n/a
29,Mariage,28,4101,25,1612-02-19,6/022
30,Mariage,33,3879,64,1739-06-17,53/119
31,Mariage,31,4386,64,1716-02-24,125/160
32,Mariage,32,4468,64,1688-07-07,2/146
33,Mariage,29,4864,64,1762-02-22,104/197
34,Mariage,37,4998,64,1707-07-06,140/189
35,Mariage,35,5343,64,1614-09-20,25/126
36,Mariage,36,6165,64,1744-02-12,32/133
37,Mariage,30,6554,64,1790-09-20,180/225
38,Mariage,37,6639,64,1685-02-26,94/152
39,Mariage,34,7960,64,1624-09-19,69/126
40,Mariage,39,7614,64,1738-09-25,39/119
41,Mariage,38,8030,64,1710-02-05,5/160
42,Mariage,40,6819,343,1900-08-06,100/110
43,Mariage,41,4447,64,1871-06-21,n/a
44,Mariage,42,6937,64,1851-06-18,n/a
45,Mariage,43,5689,129,1798-07-02,21/089
46,Mariage,44,5700,64,,n/a
47,Mariage,47,6036,202,1722-06-22,334/478
48,Mariage,46,6761,291,1765-08-06,9/446
49,Mariage,48,7482,291,1738-10-22,43/454
50,Mariage,46,7712,291,1780-10-25,30/229
51,Mariage,45,4315,250,1891-06-22,95/110
52,Mariage,64,3690,202,1738-06-04,36/201
53,Mariage,64,3919,64,1814-07-27,n/a
54,Mariage,59,3918,64,1814-07-26,n/a
55,Mariage,64,4301,347,1659-11-05,n/a
56,Mariage,64,4607,347,1673-02-09,n/a
57,Mariage,65,4613,291,1737-10-16,14/454
58,Mariage,52,4681,64,1792-08-01,15/027
59,Mariage,64,4842,202,1751-10-26,35/156
60,Mariage,50,4857,64,1781-02-14,94/211
61,Mariage,55,4981,291,1780-02-07,7/229
62,Mariage,61,5972,64,1818-11-04,n/a
63,Mariage,64,5973,64,1818-11-04,n/a
64,Mariage,57,6032,343,1852-07-05,190/359
65,Mariage,51,6643,343,1785-01-26,50/113
66,Mariage,64,6922,347,1656-10-12,n/a
67,Mariage,58,7484,343,1820-10-11,393/405
68,Mariage,54,7743,283,,n/a
69,Mariage,56,7745,283,,n/a
70,Mariage,49,4382,64,1898-06-20,09/026
71,Mariage,53,6944,343,1809-11-15,87/419
72,Mariage,53,8176,343,1826-08-12,352/542
73,Mariage,60,6843,129,1841-04-27,238/438
74,Mariage,63,5409,238,1857-06-30,38/223
75,Mariage,63,5669,64,1809-02-08,n/a
76,Mariage,62,5809,64,1906-06-25,n/a
77,Mariage,66,5811,64,1807-01-21,n/a
78,Mariage,67,5808,64,1807-01-21,n/a
79,Mariage,68,7055,64,1613-01-13,17/126
80,Mariage,70,6163,64,1736-07-01,186/186
81,Mariage,72,6448,205,1787-02-06,243/383
82,Mariage,71,6638,343,1808-11-15,163/170
83,Mariage,74,7258,64,1792-02-01,5/027
84,Mariage,74,7587,343,1683-10-21,33/093
85,Mariage,69,5530,129,1808-06-21,120/418
86,Mariage,73,4213,343,,1/100
87,Mariage,73,5743,64,1783-06-04,142/211
88,Mariage,76,5668,64,1809-02-08,n/a
89,Mariage,77,5668,64,1809-02-08,n/a
90,Mariage,78,4211,64,1715-07-10,109/160
91,Mariage,79,4303,64,1646-07-26,119/126
92,Mariage,80,5316,64,1621-02-07,54/126
93,Mariage,81,5403,202,1732-07-01,455/478
94,Mariage,82,4038,291,1777-02-10,325/446
95,Mariage,89,4305,26,1746-09-06,90/117
96,Mariage,84,4862,64,1774-09-26,38/061
97,Mariage,91,5807,64,,n/a
98,Mariage,89,6121,26,1778-10-06,192/366
99,Mariage,89,6358,64,,n/a
100,Mariage,92,7168,26,1759-10-09,151/217
101,Mariage,83,5357,250,1911-05-30,3/009
102,Mariage,86,5810,64,1842-04-20,n/a
103,Mariage,85,6120,64,1864-08-22,n/a
104,Mariage,87,6170,335,1863-04-29,194/355
105,Mariage,88,6587,343,1852-08-16,197/359
106,Mariage,90,6942,250,1883-11-20,11/013
107,Mariage,95,4612,291,1741-02-08,91/454
108,Mariage,94,7686,205,1753-06-05,9/193
109,Mariage,93,7945,343,1812-07-01,298/419
110,Mariage,96,3898,202,1677-11-03,14/478
111,Mariage,98,5279,64,1814-01-12,220/393
112,Mariage,97,5278,64,1814-01-12,220/393
113,Mariage,99,6695,180,1878-10-30,74/109
114,Mariage,100,8070,209,1702-02-14,n/a
115,Mariage,101,8033,238,1787-01-23,7/068
116,Mariage,102,7032,42,1711-05-27,221/243
117,Mariage,103,5154,238,1875-07-31,17/151
118,Mariage,104,7487,146,1851-11-12,280/382
119,Mariage,105,5464,187,1888-11-21,27/095
120,Mariage,106,6391,363,1853-11-30,359/428
121,Mariage,107,7108,129,1776-06-18,60/404
